danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,label
0.518,0.782,-9.753,0.0631,0.265,0.654,0.0769,0.861,163.647,hawaii five-o,the ventures,0
0.543,0.715,-8.89,0.0356,0.0192,0.0,0.256,0.468,124.011,pinball wizard,the who,0
0.408,0.436,-7.712,0.0345,0.805,1.72e-06,0.305,0.474,175.024,where do you go to (my lovely),peter sarstedt,0
0.439,0.488,-14.464,0.0615,0.702,0.000339,0.16,0.629,93.017,the boxer,simon & garfunkel,0
0.404,0.266,-16.688,0.0334,0.716,0.133,0.107,0.491,88.916,in the ghetto,elvis presley,0
0.508,0.769,-5.973,0.0326,0.0577,6.1e-06,0.063,0.939,178.95,bad moon rising,creedence clearwater revival,0
0.792,0.495,-11.603,0.0527,0.239,0.00175,0.074,0.719,118.066,why i sing the blues,b.b. king,0
0.783,0.543,-11.565,0.0412,0.301,0.0159,0.0892,0.833,132.033,polk salad annie,tony joe white,0
0.375,0.458,-14.019,0.0379,0.44,0.000661,0.651,0.57,89.907,laughing,the guess who,0
0.56,0.721,-6.669,0.0629,0.225,0.0339,0.0453,0.966,119.285,honky tonk women,the rolling stones,0
0.32,0.261,-12.344,0.0403,0.451,0.0,0.0816,0.366,181.948,sad girl,the intruders,0
0.487,0.382,-10.889,0.0309,0.0422,4.74e-06,0.411,0.714,116.557,suspicious minds,elvis presley,0
0.461,0.663,-9.278,0.0869,0.39,0.0,0.422,0.769,135.35,delta lady,joe cocker,0
0.64,0.663,-7.516,0.0373,0.201,0.00806,0.152,0.665,132.768,fortunate son,creedence clearwater revival,0
0.547,0.46,-8.759,0.0256,0.344,0.442,0.0983,0.543,90.768,the thrill is gone,b.b. king,0
0.411,0.374,-14.028,0.0282,0.427,1.01e-05,0.154,0.558,105.265,kentucky rain,elvis presley,0
0.581,0.624,-8.346,0.0777,0.0987,0.0,0.0411,0.637,139.714,mississippi queen,mountain,0
0.754,0.449,-14.013,0.0615,0.724,0.0,0.162,0.973,82.751,in the summertime,mungo jerry,0
0.673,0.456,-13.051,0.0293,0.0459,9.81e-05,0.147,0.859,101.015,hand me down world,the guess who,0
0.785,0.481,-11.323,0.101,0.0062,2.38e-06,0.122,0.77,119.937,all right now,free,0
0.352,0.204,-15.414,0.0311,0.76,0.000426,0.327,0.524,83.342,for the good times,ray price,0
0.323,0.339,-11.011,0.0304,0.84,0.000123,0.326,0.469,82.635,for the good times,ray price,0
0.748,0.703,-12.004,0.0362,0.114,1.39e-06,0.0646,0.882,118.944,let's work together,canned heat,0
0.46,0.513,-10.96,0.0295,0.0483,0.0,0.16,0.635,79.952,share the land,the guess who,0
0.56,0.241,-15.385,0.0314,0.593,0.195,0.122,0.341,79.537,chains and things,b.b. king,0
0.497,0.552,-7.102,0.0307,0.679,0.0314,0.089,0.633,124.359,black magic woman,santana,0
0.554,0.315,-11.028,0.0298,0.828,5.53e-06,0.101,0.325,128.157,your song,elton john,0
0.528,0.445,-12.075,0.0482,0.0198,0.000384,0.0766,0.97,206.361,i hear you knocking,dave edmunds,0
0.43,0.463,-10.96,0.0442,0.303,5.84e-05,0.152,0.66,93.405,me and bobby mcgee,janis joplin,0
